"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHC1080",55261,68.164062,23.627319,62.365593
"DHT22",55261,69.300003,22.500000,62.365593
"DHC1080",60538,68.164062,23.627319,58.455524
"DHT22",60538,69.000000,22.400000,58.455524
"DHC1080",65814,68.164062,23.627319,55.034214
"DHT22",65814,69.199997,22.400000,55.034214
"DHC1080",71090,68.164062,23.627319,64.125122
"DHT22",71090,69.500000,22.299999,64.125122
"DHC1080",76366,69.494629,23.425903,66.471161
"DHT22",76366,70.000000,22.299999,66.471161
"DHC1080",81643,69.494629,23.425903,72.043015
"DHT22",81643,69.500000,22.200001,72.043015
"DHC1080",86919,69.494629,23.425903,61.681328
"DHT22",86919,69.500000,22.200001,61.681328
"DHC1080",92195,69.494629,23.425903,58.064518
"DHT22",92195,69.500000,22.100000,58.064518
"DHC1080",97471,70.623779,23.305054,54.349953
"DHT22",97471,69.500000,22.100000,54.349953
"DHC1080",102748,70.623779,23.305054,63.636364
"DHT22",102748,69.900002,22.100000,63.636364
"DHC1080",108024,70.623779,23.305054,72.629524
"DHT22",108024,70.099998,22.100000,72.629524
"DHC1080",113300,70.623779,23.305054,61.094818
"DHT22",113300,70.000000,22.000000,61.094818
"DHC1080",118576,70.324707,23.153992,53.665688
"DHT22",118576,70.300003,22.000000,53.665688
"DHC1080",123853,70.324707,23.153992,61.485825
"DHT22",123853,70.099998,21.900000,61.485825
"DHC1080",129129,70.324707,23.153992,62.267841
"DHT22",129129,70.800003,21.900000,62.267841
"DHC1080",134405,70.324707,23.153992,70.967743
"DHT22",134405,70.300003,21.799999,70.967743
"DHC1080",139681,70.556641,23.002930,60.508308
"DHT22",139681,70.599998,21.799999,60.508308
"DHC1080",144958,70.556641,23.002930,59.530792
"DHT22",144958,71.199997,21.799999,59.530792
"DHC1080",150234,70.556641,23.002930,49.657867
"DHT22",150234,71.300003,21.700001,49.657867
"DHC1080",155510,70.556641,23.002930,59.921799
"DHT22",155510,71.500000,21.700001,59.921799
"DHC1080",160786,70.758057,22.861938,60.703812
"DHT22",160786,71.599998,21.700001,60.703812
"DHC1080",166063,70.758057,22.861938,66.959923
"DHT22",166063,73.000000,21.700001,66.959923
"DHC1080",171339,70.758057,22.861938,70.869987
"DHT22",171339,72.300003,21.600000,70.869987
"DHC1080",176615,70.758057,22.861938,58.553276
"DHT22",176615,72.300003,21.600000,58.553276
"DHC1080",181891,72.186279,22.751160,57.771259
"DHT22",181891,72.000000,21.600000,57.771259
"DHC1080",187167,72.186279,22.751160,49.755619
"DHT22",187167,72.099998,21.500000,49.755619
"DHC1080",192443,72.186279,22.751160,58.748779
"DHT22",192443,72.300003,21.500000,58.748779
"DHC1080",197719,72.186279,22.751160,59.335289
"DHT22",197719,72.199997,21.500000,59.335289
"DHC1080",202995,71.490479,22.640381,63.049854
"DHT22",202995,73.000000,21.500000,63.049854
"DHC1080",208272,71.490479,22.640381,69.794724
"DHT22",208272,73.199997,21.400000,69.794724
"DHC1080",213548,71.490479,22.640381,57.086998
"DHT22",213548,73.500000,21.400000,57.086998
"DHC1080",218824,71.490479,22.640381,52.785923
"DHT22",218824,73.599998,21.400000,52.785923
"DHC1080",224100,72.924805,22.539673,45.650047
"DHT22",224100,73.800003,21.400000,45.650047
"DHC1080",229377,72.924805,22.539673,57.380253
"DHT22",229377,73.699997,21.299999,57.380253
"DHC1080",234653,72.924805,22.539673,57.380253
"DHT22",234653,73.599998,21.299999,57.380253
"DHC1080",239929,72.924805,22.539673,57.771259
"DHT22",239929,73.400002,21.299999,57.771259
"DHC1080",245205,73.522949,22.428894,58.944283
"DHT22",245205,73.500000,21.200001,58.944283
"DHC1080",250482,73.522949,22.428894,61.681328
"DHT22",250482,73.599998,21.200001,61.681328
"DHC1080",255758,73.522949,22.428894,68.523949
"DHT22",255758,73.300003,21.200001,68.523949
"DHC1080",261034,73.522949,22.428894,67.155426
"DHT22",261034,73.900002,21.200001,67.155426
"DHC1080",266310,72.955322,22.348328,67.448677
"DHT22",266310,73.400002,21.100000,67.448677
"DHC1080",271587,72.955322,22.348328,65.591400
"DHT22",271587,73.400002,21.100000,65.591400
"DHC1080",276863,72.955322,22.348328,55.718475
"DHT22",276863,73.599998,21.100000,55.718475
"DHC1080",282139,72.955322,22.348328,55.034214
"DHT22",282139,73.500000,21.100000,55.034214
